SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC12083640,0,0.5521,0,0.1678,0.0054,0.0023,0.002,0.2674,0.003,Italian
GRC12083641,0.0055,0.5491,0,0.1654,0,0,0.0094,0.2706,0,Italian
GRC11075119,0,0.5836,0,0.1686,0,0,0.0074,0.2404,0,Italian
GRC12083639,0.0024,0.5867,0,0.1697,0.0015,3.00E-04,0.0024,0.237,0,Italian
GRC12081970,0,0.0814,0,0.5983,0,0.0084,0.254,0.0578,0,Iyengar_Kar
GRC12081997,0,0.084,0,0.6006,0,0,0.2418,0.0735,0,Iyengar_Kar
GRC11075073,0.7345,0,0,0,0,0,0.2654,0,0,Japan
GRC11075074,0.728,0,0,0,1.00E-04,0.0018,0.27,0,0,Japan
GRC11075075,0.7365,0,0,0,0,0,0.2634,0,0,Japan
GRC11075077,0.737,0,0,0,0,0,0.263,0,0,Japan
GRC11075081,0.7337,0,0,0,0.0034,0,0.2629,0,0,Japan
GRC11075082,0.7243,0,0,0,0.0035,0,0.2721,0,0,Japan
GRC11075076,0.7446,0,0,0,0,0.0025,0.2528,0,0,Japan
GRC11075079,0.7472,0,0,0,0,0,0.2527,0,0,Japan
GRC11075080,0.7439,0,0,0,0,0,0.256,0,0,Japan
GRC11075083,0.7322,0,0,0,0.0124,0.0023,0.2531,0,0,Japan
GRC11075078,0.7571,0,0,0,0,0,0.2428,0,0,Japan
GRC11075084,0.7597,0,0,0,0,0.0045,0.2357,0,0,Japan
GRC12084519,0,0,0.2093,0,0,0,0,0,0.7906,Johannesburg_Gauteng_RSA
GRC12084520,0,0,0.1537,0,0,0,0,0,0.8463,Johannesburg_Gauteng_RSA
GRC12084510,0,0,0.1256,0,0,0,0,0,0.8743,Kaokoveld_Namibia
GRC12084512,0,0,0.1181,0,0,0,0,0,0.8819,Kaokoveld_Namibia
GRC12084509,0,0,0.1041,0,0,0,0,0,0.8958,Kaokoveld_Namibia
GRC12084511,0,0,0.1078,0,0,0,0,0,0.8921,Kaokoveld_Namibia
GRC12084513,0,0,0.1036,0,0,0,0,0,0.8964,Kaokoveld_Namibia
GRC12081937,0,0.0383,0.0018,0.5954,0,0,0.3645,0,0,Kapu
GRC12081983,0,0.031,0.0056,0.6362,0,0,0.3201,0.0071,0,Kapu
GRC11075086,0,0.0138,0.0797,0.0173,0,0,0,0,0.8892,Kenya
GRC11075088,0,0.0039,0.091,0.0096,0,0.0046,3.00E-04,0.0256,0.865,Kenya
GRC11075091,0,0.0199,0.0871,0.0106,0,0.0064,0,0,0.876,Kenya
GRC11075092,0.0052,0.0108,0.0957,0.0089,0,0.0051,0,0,0.8743,Kenya
